row_number;date_bibliography;bibliography_id;db_variation_id;origin;phenotype;replicated;title;publication;databank_id;date_id
23;2009-01-01T00:00:00.000Z;20031619;rs397516089;Not available;Not available;Not available;Sarcomere mutations in cardiomyopathy with left ventricular hypertrabeculation.;Circulation. Cardiovascular genetics;4;4,65E+12
24;2009-01-01T00:00:00.000Z;20031619;rs727503249;Not available;Not available;Not available;Sarcomere mutations in cardiomyopathy with left ventricular hypertrabeculation.;Circulation. Cardiovascular genetics;4;4,65E+12
25;2009-01-01T00:00:00.000Z;20031619;rs727503166;Not available;Not available;Not available;Sarcomere mutations in cardiomyopathy with left ventricular hypertrabeculation.;Circulation. Cardiovascular genetics;4;4,65E+12
26;2009-01-01T00:00:00.000Z;19449150;rs104894729;Not available;Not available;Not available;Genetic and clinical profile of Indian patients of idiopathic restrictive cardiomyopathy with and without hypertrophy.;Molecular and cellular biochemistry;4;4,65E+12
27;2009-01-01T00:00:00.000Z;19808356;rs187830361;Not available;Not available;Not available;Expression patterns of cardiac myofilament proteins: genomic and protein analysis of surgical myectomy tissue from patients with obstructive hypertrophic cardiomyopathy.;Circulation. Heart failure;4;4,65E+12
28;2009-01-01T00:00:00.000Z;19808356;rs397516074;Not available;Not available;Not available;Expression patterns of cardiac myofilament proteins: genomic and protein analysis of surgical myectomy tissue from patients with obstructive hypertrophic cardiomyopathy.;Circulation. Heart failure;4;4,65E+12
29;2009-01-01T00:00:00.000Z;19019189;rs1805124;Not available;Not available;Not available;Common candidate gene variants are associated with QT interval duration in the general population.;Journal of internal medicine;4;4,65E+12
30;2009-01-01T00:00:00.000Z;19019189;rs1805123;Not available;Not available;Not available;Common candidate gene variants are associated with QT interval duration in the general population.;Journal of internal medicine;4;4,65E+12
31;2009-01-01T00:00:00.000Z;19019189;rs1805127;Not available;Not available;Not available;Common candidate gene variants are associated with QT interval duration in the general population.;Journal of internal medicine;4;4,65E+12
32;2009-01-01T00:00:00.000Z;19019189;rs1805128;Not available;Not available;Not available;Common candidate gene variants are associated with QT interval duration in the general population.;Journal of internal medicine;4;4,65E+12
33;2009-01-01T00:00:00.000Z;19019189;rs2234916;Not available;Not available;Not available;Common candidate gene variants are associated with QT interval duration in the general population.;Journal of internal medicine;4;4,65E+12
34;2009-01-01T00:00:00.000Z;19019189;rs36210421;Not available;Not available;Not available;Common candidate gene variants are associated with QT interval duration in the general population.;Journal of internal medicine;4;4,65E+12
35;2009-01-01T00:00:00.000Z;19841300;rs1805124;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
36;2009-01-01T00:00:00.000Z;19841300;rs45563942;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
37;2009-01-01T00:00:00.000Z;19841300;rs6791924;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
38;2009-01-01T00:00:00.000Z;19841300;rs7626962;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
39;2009-01-01T00:00:00.000Z;19841300;rs137854602;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
40;2009-01-01T00:00:00.000Z;19841300;rs41261344;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
41;2009-01-01T00:00:00.000Z;19841300;rs120074178;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
42;2009-01-01T00:00:00.000Z;19841300;rs120074179;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
43;2009-01-01T00:00:00.000Z;19841300;rs120074180;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
44;2009-01-01T00:00:00.000Z;19841300;rs120074182;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
45;2009-01-01T00:00:00.000Z;19841300;rs120074184;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
46;2009-01-01T00:00:00.000Z;19841300;rs120074187;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
47;2009-01-01T00:00:00.000Z;19841300;rs120074188;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
48;2009-01-01T00:00:00.000Z;19841300;rs120074189;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
49;2009-01-01T00:00:00.000Z;19841300;rs121912504;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
50;2009-01-01T00:00:00.000Z;19841300;rs121912507;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
51;2009-01-01T00:00:00.000Z;19841300;rs121912508;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
52;2009-01-01T00:00:00.000Z;19841300;rs121912516;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
53;2009-01-01T00:00:00.000Z;19841300;rs12720441;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
54;2009-01-01T00:00:00.000Z;19841300;rs12720449;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
55;2009-01-01T00:00:00.000Z;19841300;rs12720452;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
56;2009-01-01T00:00:00.000Z;19841300;rs12720457;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
57;2009-01-01T00:00:00.000Z;19841300;rs12720458;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
58;2009-01-01T00:00:00.000Z;19841300;rs12720459;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
59;2009-01-01T00:00:00.000Z;19841300;rs137854600;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
60;2009-01-01T00:00:00.000Z;19841300;rs137854601;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
61;2009-01-01T00:00:00.000Z;19841300;rs137854614;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
62;2009-01-01T00:00:00.000Z;19841300;rs138362632;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
63;2009-01-01T00:00:00.000Z;19841300;rs138551008;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
64;2009-01-01T00:00:00.000Z;19841300;rs138776684;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
65;2009-01-01T00:00:00.000Z;19841300;rs139544114;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
66;2009-01-01T00:00:00.000Z;19841300;rs141117135;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
67;2009-01-01T00:00:00.000Z;19841300;rs144511230;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
68;2009-01-01T00:00:00.000Z;19841300;rs145229963;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
69;2009-01-01T00:00:00.000Z;19841300;rs150817714;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
70;2009-01-01T00:00:00.000Z;19841300;rs151031345;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
71;2009-01-01T00:00:00.000Z;19841300;rs17215479;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
72;2009-01-01T00:00:00.000Z;19841300;rs17215500;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
73;2009-01-01T00:00:00.000Z;19841300;rs179489;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
74;2009-01-01T00:00:00.000Z;19841300;rs1800172;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
75;2009-01-01T00:00:00.000Z;19841300;rs1805123;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
76;2009-01-01T00:00:00.000Z;19841300;rs199472676;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
77;2009-01-01T00:00:00.000Z;19841300;rs199472677;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
78;2009-01-01T00:00:00.000Z;19841300;rs199472681;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
79;2009-01-01T00:00:00.000Z;19841300;rs199472703;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
80;2009-01-01T00:00:00.000Z;19841300;rs199472710;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
81;2009-01-01T00:00:00.000Z;19841300;rs199472713;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
82;2009-01-01T00:00:00.000Z;19841300;rs199472719;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
83;2009-01-01T00:00:00.000Z;19841300;rs199472720;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
84;2009-01-01T00:00:00.000Z;19841300;rs199472726;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
85;2009-01-01T00:00:00.000Z;19841300;rs199472727;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
86;2009-01-01T00:00:00.000Z;19841300;rs199472741;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
87;2009-01-01T00:00:00.000Z;19841300;rs199472748;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
88;2009-01-01T00:00:00.000Z;19841300;rs199472754;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
89;2009-01-01T00:00:00.000Z;19841300;rs199472756;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
90;2009-01-01T00:00:00.000Z;19841300;rs199472761;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
91;2009-01-01T00:00:00.000Z;19841300;rs199472771;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
92;2009-01-01T00:00:00.000Z;19841300;rs199472776;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
93;2009-01-01T00:00:00.000Z;19841300;rs199472781;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
94;2009-01-01T00:00:00.000Z;19841300;rs199472788;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
95;2009-01-01T00:00:00.000Z;19841300;rs199472790;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
96;2009-01-01T00:00:00.000Z;19841300;rs199472795;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
97;2009-01-01T00:00:00.000Z;19841300;rs199472800;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
98;2009-01-01T00:00:00.000Z;19841300;rs199472804;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
99;2009-01-01T00:00:00.000Z;19841300;rs199472805;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
100;2009-01-01T00:00:00.000Z;19841300;rs199472807;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
101;2009-01-01T00:00:00.000Z;19841300;rs199472813;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
102;2009-01-01T00:00:00.000Z;19841300;rs199472814;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
103;2009-01-01T00:00:00.000Z;19841300;rs199472815;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
104;2009-01-01T00:00:00.000Z;19841300;rs199472819;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
105;2009-01-01T00:00:00.000Z;19841300;rs199472820;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
106;2009-01-01T00:00:00.000Z;19841300;rs199472827;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
107;2009-01-01T00:00:00.000Z;19841300;rs199472848;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
108;2009-01-01T00:00:00.000Z;19841300;rs199472854;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
109;2009-01-01T00:00:00.000Z;19841300;rs199472868;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
110;2009-01-01T00:00:00.000Z;19841300;rs199472870;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
111;2009-01-01T00:00:00.000Z;19841300;rs199472873;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
112;2009-01-01T00:00:00.000Z;19841300;rs199472882;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
113;2009-01-01T00:00:00.000Z;19841300;rs199472884;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
114;2009-01-01T00:00:00.000Z;19841300;rs199472897;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
115;2009-01-01T00:00:00.000Z;19841300;rs199472911;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
116;2009-01-01T00:00:00.000Z;19841300;rs199472912;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
117;2009-01-01T00:00:00.000Z;19841300;rs199472916;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
118;2009-01-01T00:00:00.000Z;19841300;rs199472918;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
119;2009-01-01T00:00:00.000Z;19841300;rs199472922;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
120;2009-01-01T00:00:00.000Z;19841300;rs199472931;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
121;2009-01-01T00:00:00.000Z;19841300;rs199472936;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
122;2009-01-01T00:00:00.000Z;19841300;rs199472944;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
123;2009-01-01T00:00:00.000Z;19841300;rs199472950;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
124;2009-01-01T00:00:00.000Z;19841300;rs199472951;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
125;2009-01-01T00:00:00.000Z;19841300;rs199472957;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
126;2009-01-01T00:00:00.000Z;19841300;rs199472961;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
127;2009-01-01T00:00:00.000Z;19841300;rs199472965;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
128;2009-01-01T00:00:00.000Z;19841300;rs199472970;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
129;2009-01-01T00:00:00.000Z;19841300;rs199472971;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
130;2009-01-01T00:00:00.000Z;19841300;rs199472974;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
131;2009-01-01T00:00:00.000Z;19841300;rs199472980;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
132;2009-01-01T00:00:00.000Z;19841300;rs199472981;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
133;2009-01-01T00:00:00.000Z;19841300;rs199472983;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
134;2009-01-01T00:00:00.000Z;19841300;rs199472986;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
135;2009-01-01T00:00:00.000Z;19841300;rs199472989;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
136;2009-01-01T00:00:00.000Z;19841300;rs199472992;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
137;2009-01-01T00:00:00.000Z;19841300;rs199473001;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
138;2009-01-01T00:00:00.000Z;19841300;rs199473005;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
139;2009-01-01T00:00:00.000Z;19841300;rs199473014;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
140;2009-01-01T00:00:00.000Z;19841300;rs199473016;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
141;2009-01-01T00:00:00.000Z;19841300;rs199473018;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
142;2009-01-01T00:00:00.000Z;19841300;rs199473022;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
143;2009-01-01T00:00:00.000Z;19841300;rs199473027;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
144;2009-01-01T00:00:00.000Z;19841300;rs199473030;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
145;2009-01-01T00:00:00.000Z;19841300;rs199473145;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
146;2009-01-01T00:00:00.000Z;19841300;rs199473177;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
147;2009-01-01T00:00:00.000Z;19841300;rs199473187;Not available;Not available;Not available;Genetic testing for long-QT syndrome: distinguishing pathogenic mutations from benign variants.;Circulation;4;4,65E+12
