row_number;phenotype;db_variation_id;phenotype_category;category;phenotype_id
49;Hypertrophic cardiomyopathy;rs397515975;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
50;Familial hypertrophic cardiomyopathy 1;rs55807353;Hypertrophic cardiomyopathy;Cardiomyopathies;9,02E+11
51;Familial hypertrophic cardiomyopathy 4;rs587776700;Hypertrophic cardiomyopathy;Cardiomyopathies;7,65E+11
52;Hypertrophic cardiomyopathy;rs72648937;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
53;Familial hypertrophic cardiomyopathy 4;rs749310275;Hypertrophic cardiomyopathy;Cardiomyopathies;7,65E+11
54;Primary familial hypertrophic cardiomyopathy;rs750349613;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
55;Hypertrophic cardiomyopathy;rs753300898;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
56;Familial Hypertrophic Cardiomyopathy with Wolff-Parkinson-White Syndrome;rs763981651;Hypertrophic cardiomyopathy;Cardiomyopathies;6,44E+11
57;Familial hypertrophic cardiomyopathy 14;rs769341738;Hypertrophic cardiomyopathy;Cardiomyopathies;7,82E+11
58;Hypertrophic cardiomyopathy;rs779726933;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
59;Primary familial hypertrophic cardiomyopathy;rs869025452;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
60;Familial hypertrophic cardiomyopathy 20;rs200067011;Hypertrophic cardiomyopathy;Cardiomyopathies;4,98E+11
61;Hypertrophic cardiomyopathy;rs727503120;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
62;Hypertrophic cardiomyopathy;rs727503392;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
63;Familial hypertrophic cardiomyopathy 9;rs797044697;Hypertrophic cardiomyopathy;Cardiomyopathies;1,62E+12
64;Long QT syndrome;rs1060503452;Long QT syndrome;Cardiomyopathies;1,29E+11
65;Long QT syndrome;rs1156871556;Long QT syndrome;Cardiomyopathies;1,29E+11
66;Congenital long QT syndrome;rs120074188;Long QT syndrome;Cardiomyopathies;1,40E+12
67;Long QT syndrome;rs141117135;Long QT syndrome;Cardiomyopathies;1,29E+11
68;Long QT syndrome;rs1554431441;Long QT syndrome;Cardiomyopathies;1,29E+11
69;Long QT syndrome;rs1554578788;Long QT syndrome;Cardiomyopathies;1,29E+11
70;Congenital long QT syndrome;rs192113333;Long QT syndrome;Cardiomyopathies;1,40E+12
71;Congenital long QT syndrome;rs199472853;Long QT syndrome;Cardiomyopathies;1,40E+12
72;Congenital long QT syndrome;rs199472859;Long QT syndrome;Cardiomyopathies;1,40E+12
73;Congenital long QT syndrome;rs199472930;Long QT syndrome;Cardiomyopathies;1,40E+12
74;Long QT syndrome;rs199473293;Long QT syndrome;Cardiomyopathies;1,29E+11
75;Congenital long QT syndrome;rs199473459;Long QT syndrome;Cardiomyopathies;1,40E+12
76;Congenital long QT syndrome;rs199473524;Long QT syndrome;Cardiomyopathies;1,40E+12
77;Long QT syndrome;rs201966564;Long QT syndrome;Cardiomyopathies;1,29E+11
78;Long QT syndrome;rs33966911;Long QT syndrome;Cardiomyopathies;1,29E+11
79;Long QT syndrome;rs35669569;Long QT syndrome;Cardiomyopathies;1,29E+11
80;Long QT syndrome;rs565447765;Long QT syndrome;Cardiomyopathies;1,29E+11
81;Long QT syndrome;rs746886469;Long QT syndrome;Cardiomyopathies;1,29E+11
82;Long QT syndrome;rs753032598;Long QT syndrome;Cardiomyopathies;1,29E+11
83;Long QT syndrome;rs765427343;Long QT syndrome;Cardiomyopathies;1,29E+11
84;Long QT syndrome;rs766058202;Long QT syndrome;Cardiomyopathies;1,29E+11
85;Long QT syndrome;rs776320443;Long QT syndrome;Cardiomyopathies;1,29E+11
86;Long QT syndrome;rs776345336;Long QT syndrome;Cardiomyopathies;1,29E+11
87;Long QT syndrome;rs778041701;Long QT syndrome;Cardiomyopathies;1,29E+11
88;Long QT syndrome 2;rs779027664;Long QT syndrome;Cardiomyopathies;5,24E+11
89;Long QT syndrome 3;rs794728849;Long QT syndrome;Cardiomyopathies;1,57E+12
90;Long QT syndrome;rs936860550;Long QT syndrome;Cardiomyopathies;1,29E+11
91;Catecholaminergic polymorphic ventricular tachycardia;rs1321772491;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
92;Catecholaminergic polymorphic ventricular tachycardia;rs199693714;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
93;Catecholaminergic polymorphic ventricular tachycardia;rs200642525;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
94;Catecholaminergic polymorphic ventricular tachycardia;rs545357663;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
95;Catecholaminergic polymorphic ventricular tachycardia;rs765914619;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
96;Catecholaminergic polymorphic ventricular tachycardia;rs781420323;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
97;Catecholaminergic polymorphic ventricular tachycardia;rs9398723;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
98;Marfan syndrome;rs1057520617;Marfan syndrome;Cardiomyopathies;2,83E+11
99;Marfan syndrome;rs1260109901;Marfan syndrome;Cardiomyopathies;2,83E+11
100;Marfan syndrome;rs1445085747;Marfan syndrome;Cardiomyopathies;2,83E+11
101;Marfan syndrome;rs1555397704;Marfan syndrome;Cardiomyopathies;2,83E+11
102;Marfan syndrome;rs397515754;Marfan syndrome;Cardiomyopathies;2,83E+11
103;Marfan syndrome;rs766125141;Marfan syndrome;Cardiomyopathies;2,83E+11
104;Marfan syndrome;rs886041349;Marfan syndrome;Cardiomyopathies;2,83E+11
105;Marfan syndrome;rs886058328;Marfan syndrome;Cardiomyopathies;2,83E+11
106;Brugada syndrome;rs112185839;Brugada syndrome;Cardiomyopathies;7,04E+11
107;Brugada syndrome;rs199473061;Brugada syndrome;Cardiomyopathies;7,04E+11
108;Brugada syndrome;rs199473084;Brugada syndrome;Cardiomyopathies;7,04E+11
109;Brugada syndrome;rs199473117;Brugada syndrome;Cardiomyopathies;7,04E+11
110;Brugada syndrome;rs199473124;Brugada syndrome;Cardiomyopathies;7,04E+11
111;Brugada syndrome;rs199473244;Brugada syndrome;Cardiomyopathies;7,04E+11
112;Brugada syndrome;rs199473572;Brugada syndrome;Cardiomyopathies;7,04E+11
113;Brugada syndrome;rs200287665;Brugada syndrome;Cardiomyopathies;7,04E+11
114;Brugada syndrome;rs369678002;Brugada syndrome;Cardiomyopathies;7,04E+11
115;Brugada syndrome;rs376361103;Brugada syndrome;Cardiomyopathies;7,04E+11
116;Brugada syndrome 8;rs746658574;Brugada syndrome;Cardiomyopathies;9,62E+11
117;Brugada syndrome;rs752623537;Brugada syndrome;Cardiomyopathies;7,04E+11
118;Brugada syndrome;rs753304260;Brugada syndrome;Cardiomyopathies;7,04E+11
119;Brugada syndrome;rs770809062;Brugada syndrome;Cardiomyopathies;7,04E+11
120;Brugada syndrome;rs878855290;Brugada syndrome;Cardiomyopathies;7,04E+11
121;Loeys-Dietz syndrome 2;rs104893812;Loeys-Dietz syndrome;Cardiomyopathies;6,36E+11
122;Marfan Syndrome/Loeys-Dietz Syndrome/Familial Thoracic Aortic Aneurysms and Dissections;rs1555398835;Loeys-Dietz syndrome;Cardiomyopathies;1,04E+12
123;Loeys-Dietz syndrome 4;rs201453600;Loeys-Dietz syndrome;Cardiomyopathies;1,98E+11
124;Loeys-Dietz syndrome 2;rs80325832;Loeys-Dietz syndrome;Cardiomyopathies;6,36E+11
125;Loeys-Dietz syndrome;rs886051424;Loeys-Dietz syndrome;Cardiomyopathies;1,23E+12
126;Restrictive cardiomyopathy;rs3729823;Restrictive cardiomyopathy;Cardiomyopathies;1,61E+12
127;Familial restrictive cardiomyopathy 3;rs377157235;Restrictive cardiomyopathy;Cardiomyopathies;1,80E+11
128;Familial restrictive cardiomyopathy;rs886051083;Restrictive cardiomyopathy;Cardiomyopathies;1,66E+12
129;short QT syndrome;rs745447199;Short QT syndrome;Cardiomyopathies;8,07E+11
130;Dilated cardiomyopathy 1G;rs1060500402;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
131;Dilated cardiomyopathy 1G;rs1060500458;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
132;Dilated cardiomyopathy 1G;rs1060503951;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
133;Familial dilated cardiomyopathy;rs146617683;Dilated cardiomyopathy;Cardiomyopathies;1,19E+12
134;Dilated cardiomyopathy 1G;rs1553521060;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
135;Dilated cardiomyopathy 1G;rs1553717666;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
136;Dilated cardiomyopathy 1L;rs1554119747;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
137;Dilated cardiomyopathy 1W;rs1554819202;Dilated cardiomyopathy;Cardiomyopathies;1,27E+12
138;Dilated cardiomyopathy 3B;rs16990264;Dilated cardiomyopathy;Cardiomyopathies;5,58E+11
139;Dilated cardiomyopathy 1J;rs17854076;Dilated cardiomyopathy;Cardiomyopathies;3,61E+11
140;Dilated cardiomyopathy 1W;rs189242810;Dilated cardiomyopathy;Cardiomyopathies;1,27E+12
141;Dilated cardiomyopathy 1G;rs199505416;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
142;Dilated cardiomyopathy 1G;rs199598302;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
143;Dilated cardiomyopathy 2A;rs200720341;Dilated cardiomyopathy;Cardiomyopathies;1,61E+12
144;Primary dilated cardiomyopathy;rs200942544;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
145;Dilated cardiomyopathy 1G;rs200954184;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
146;Primary dilated cardiomyopathy;rs2231126;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
147;Dilated cardiomyopathy 1AA;rs35956798;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
148;Dilated cardiomyopathy 1G;rs369025108;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
149;Dilated cardiomyopathy with woolly hair and keratoderma;rs370063434;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
150;Dilated cardiomyopathy 1G;rs372740215;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
151;Dilated cardiomyopathy 1G;rs397517771;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
152;Primary dilated cardiomyopathy;rs578252294;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
153;Dilated cardiomyopathy 1G;rs587782987;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
154;Dilated cardiomyopathy 1G;rs72649002;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
155;Primary dilated cardiomyopathy;rs727504535;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
156;Primary dilated cardiomyopathy;rs746298728;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
157;Dilated cardiomyopathy 1DD;rs750763255;Dilated cardiomyopathy;Cardiomyopathies;1,02E+12
158;Dilated cardiomyopathy 1G;rs752309744;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
159;Dilated cardiomyopathy 1G;rs753333359;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
160;Dilated cardiomyopathy 1G;rs755153359;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
161;Dilated cardiomyopathy 1DD;rs755241667;Dilated cardiomyopathy;Cardiomyopathies;1,02E+12
162;Dilated cardiomyopathy 1G;rs765125364;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
163;Dilated cardiomyopathy with woolly hair and keratoderma;rs77758574;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
164;Dilated cardiomyopathy 1G;rs77968867;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
165;Dilated cardiomyopathy 1G;rs779886174;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
166;Dilated cardiomyopathy 1G;rs869312099;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
167;Dilated cardiomyopathy 1DD;rs977645949;Dilated cardiomyopathy;Cardiomyopathies;1,02E+12
168;Familial hypertrophic cardiomyopathy 1;rs104894363;Hypertrophic cardiomyopathy;Cardiomyopathies;9,02E+11
169;Familial hypertrophic cardiomyopathy 4;rs112738974;Hypertrophic cardiomyopathy;Cardiomyopathies;7,65E+11
170;Primary familial hypertrophic cardiomyopathy;rs138720701;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
171;Hypertrophic cardiomyopathy;rs143030509;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
172;Familial hypertrophic cardiomyopathy 19;rs149634686;Hypertrophic cardiomyopathy;Cardiomyopathies;7,56E+11
173;Hypertrophic cardiomyopathy;rs184412722;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
174;Hypertrophic cardiomyopathy;rs36021856;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
175;Familial hypertrophic cardiomyopathy 4;rs376504548;Hypertrophic cardiomyopathy;Cardiomyopathies;7,65E+11
176;Hypertrophic cardiomyopathy;rs543585784;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
177;Hypertrophic cardiomyopathy;rs56027402;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
178;Primary familial hypertrophic cardiomyopathy;rs587782955;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
179;Hypertrophic cardiomyopathy;rs73036373;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
180;Primary familial hypertrophic cardiomyopathy;rs730880183;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
181;Familial hypertrophic cardiomyopathy 14;rs745448722;Hypertrophic cardiomyopathy;Cardiomyopathies;7,82E+11
182;Hypertrophic cardiomyopathy;rs754717390;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
183;Familial hypertrophic cardiomyopathy 14;rs772882288;Hypertrophic cardiomyopathy;Cardiomyopathies;7,82E+11
184;Familial hypertrophic cardiomyopathy 12;rs777327517;Hypertrophic cardiomyopathy;Cardiomyopathies;2,92E+11
185;Primary familial hypertrophic cardiomyopathy;rs869025476;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
186;Primary familial hypertrophic cardiomyopathy;rs869025515;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
187;Long QT syndrome;rs120074179;Long QT syndrome;Cardiomyopathies;1,29E+11
188;Congenital long QT syndrome;rs120074184;Long QT syndrome;Cardiomyopathies;1,40E+12
189;Long QT syndrome;rs12720458;Long QT syndrome;Cardiomyopathies;1,29E+11
190;Long QT syndrome;rs1374381593;Long QT syndrome;Cardiomyopathies;1,29E+11
191;Long QT syndrome;rs1386852977;Long QT syndrome;Cardiomyopathies;1,29E+11
192;Long QT syndrome;rs140992864;Long QT syndrome;Cardiomyopathies;1,29E+11
193;Long QT syndrome;rs1453566638;Long QT syndrome;Cardiomyopathies;1,29E+11
194;Long QT syndrome;rs1555800433;Long QT syndrome;Cardiomyopathies;1,29E+11
195;Long QT syndrome;rs1556205510;Long QT syndrome;Cardiomyopathies;1,29E+11
196;Long QT syndrome;rs184184931;Long QT syndrome;Cardiomyopathies;1,29E+11
197;Long QT syndrome;rs199472793;Long QT syndrome;Cardiomyopathies;1,29E+11
198;Congenital long QT syndrome;rs199472824;Long QT syndrome;Cardiomyopathies;1,40E+12
199;Congenital long QT syndrome;rs199472840;Long QT syndrome;Cardiomyopathies;1,40E+12
200;Long QT syndrome;rs34101758;Long QT syndrome;Cardiomyopathies;1,29E+11
201;Long QT syndrome 1;rs35617141;Long QT syndrome;Cardiomyopathies;1,21E+12
202;Long QT syndrome;rs761505485;Long QT syndrome;Cardiomyopathies;1,29E+11
203;Long QT syndrome;rs761941047;Long QT syndrome;Cardiomyopathies;1,29E+11
204;Long QT syndrome;rs776980213;Long QT syndrome;Cardiomyopathies;1,29E+11
205;Congenital long QT syndrome;rs794728879;Long QT syndrome;Cardiomyopathies;1,40E+12
206;Long QT syndrome 2;rs869025447;Long QT syndrome;Cardiomyopathies;5,24E+11
207;Catecholaminergic polymorphic ventricular tachycardia;rs1553323690;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
208;Catecholaminergic polymorphic ventricular tachycardia;rs182778119;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
209;Catecholaminergic polymorphic ventricular tachycardia;rs373686520;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
210;Catecholaminergic polymorphic ventricular tachycardia;rs577371071;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
211;Catecholaminergic polymorphic ventricular tachycardia;rs876661386;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
212;Marfan syndrome;rs1060501091;Marfan syndrome;Cardiomyopathies;2,83E+11
213;Marfan syndrome;rs1392530685;Marfan syndrome;Cardiomyopathies;2,83E+11
214;Marfan syndrome;rs149062442;Marfan syndrome;Cardiomyopathies;2,83E+11
215;Marfan syndrome;rs1555394436;Marfan syndrome;Cardiomyopathies;2,83E+11
216;Marfan Syndrome/Loeys-Dietz Syndrome/Familial Thoracic Aortic Aneurysms and Dissections;rs1555397424;Marfan syndrome;Cardiomyopathies;1,04E+12
217;Marfan syndrome;rs1555398981;Marfan syndrome;Cardiomyopathies;2,83E+11
218;Marfan syndrome;rs397515769;Marfan syndrome;Cardiomyopathies;2,83E+11
219;Marfan Syndrome/Loeys-Dietz Syndrome/Familial Thoracic Aortic Aneurysms and Dissections;rs727503054;Marfan syndrome;Cardiomyopathies;1,04E+12
220;Marfan syndrome;rs879283668;Marfan syndrome;Cardiomyopathies;2,83E+11
221;Brugada syndrome;rs1060501715;Brugada syndrome;Cardiomyopathies;7,04E+11
222;Brugada syndrome;rs111341342;Brugada syndrome;Cardiomyopathies;7,04E+11
223;Brugada syndrome;rs13324293;Brugada syndrome;Cardiomyopathies;7,04E+11
224;Brugada syndrome 5;rs1555720788;Brugada syndrome;Cardiomyopathies;1,57E+12
225;Brugada syndrome;rs199473042;Brugada syndrome;Cardiomyopathies;7,04E+11
226;Brugada syndrome;rs199473100;Brugada syndrome;Cardiomyopathies;7,04E+11
227;Brugada syndrome 1;rs199473171;Brugada syndrome;Cardiomyopathies;2,41E+11
228;Brugada syndrome;rs72552164;Brugada syndrome;Cardiomyopathies;7,04E+11
229;Brugada syndrome;rs886058337;Brugada syndrome;Cardiomyopathies;7,04E+11
230;Brugada syndrome;rs886058449;Brugada syndrome;Cardiomyopathies;7,04E+11
231;Brugada syndrome;rs886058465;Brugada syndrome;Cardiomyopathies;7,04E+11
232;Loeys-Dietz syndrome;rs186157987;Loeys-Dietz syndrome;Cardiomyopathies;1,23E+12
233;Loeys-Dietz syndrome 2;rs28934568;Loeys-Dietz syndrome;Cardiomyopathies;6,36E+11
234;Loeys-Dietz syndrome;rs886063225;Loeys-Dietz syndrome;Cardiomyopathies;1,23E+12
235;Loeys-Dietz syndrome 1;rs886063229;Loeys-Dietz syndrome;Cardiomyopathies;1,42E+12
236;Familial restrictive cardiomyopathy;rs727503513;Restrictive cardiomyopathy;Cardiomyopathies;1,66E+12
237;Familial restrictive cardiomyopathy 3;rs730881095;Restrictive cardiomyopathy;Cardiomyopathies;1,80E+11
238;Familial restrictive cardiomyopathy 3;rs730881120;Restrictive cardiomyopathy;Cardiomyopathies;1,80E+11
239;Familial restrictive cardiomyopathy;rs748053539;Restrictive cardiomyopathy;Cardiomyopathies;1,66E+12
240;Dilated cardiomyopathy 1G;rs1060500464;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
241;Dilated cardiomyopathy 1G;rs1060500532;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
242;Dilated cardiomyopathy 1J;rs1060502996;Dilated cardiomyopathy;Cardiomyopathies;3,61E+11
243;Dilated cardiomyopathy 1DD;rs1309738508;Dilated cardiomyopathy;Cardiomyopathies;1,02E+12
244;Dilated cardiomyopathy 1G;rs1366489829;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
245;Dilated cardiomyopathy with woolly hair and keratoderma;rs140488069;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
246;Dilated cardiomyopathy 1G;rs1478656719;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
247;Dilated cardiomyopathy with woolly hair and keratoderma;rs1554108050;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
248;Dilated cardiomyopathy 1G;rs16866475;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
249;Dilated cardiomyopathy 1G;rs200100660;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
250;Dilated cardiomyopathy 1O;rs201147809;Dilated cardiomyopathy;Cardiomyopathies;7,30E+11
251;Dilated cardiomyopathy 1G;rs201944202;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
252;Dilated cardiomyopathy 1G;rs202234492;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
253;Primary dilated cardiomyopathy;rs368219776;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
254;Dilated cardiomyopathy 1G;rs369195237;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
255;Dilated cardiomyopathy 1G;rs373223049;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
256;Familial dilated cardiomyopathy;rs397516016;Dilated cardiomyopathy;Cardiomyopathies;1,19E+12
257;Primary dilated cardiomyopathy;rs45544633;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
258;Dilated cardiomyopathy 1G;rs554841820;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
259;Dilated cardiomyopathy 1G;rs561557554;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
260;Dilated cardiomyopathy 1G;rs72646850;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
261;Dilated cardiomyopathy 1G;rs72646870;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
262;Dilated cardiomyopathy 1G;rs72650064;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
